,0
Init Bwd Win Byts,0.11822790810451612
Dst Port,0.09226255582161538
Src Port,0.07499072278654322
Fwd Header Len,0.0634851309562816
Fwd Pkts/s,0.06142351107389286
Protocol,0.04199816811026689
Tot Fwd Pkts,0.03803377344807718
Pkt Len Var,0.03752632817068073
Flow IAT Min,0.03709399601891955
Bwd Pkt Len Max,0.03525168270649695
Bwd Pkt Len Mean,0.034119680205392175
Tot Bwd Pkts,0.03035508979988926
Pkt Len Mean,0.02960899987860942
Bwd IAT Min,0.02769743878785578
Fwd IAT Min,0.022549712545722075
Flow Pkts/s,0.018205779761075645
Flow IAT Std,0.018121969758073307
Bwd Pkt Len Min,0.017262508793884253
FIN Flag Cnt,0.01663936726388483
Flow Duration,0.015529552524076512
TotLen Fwd Pkts,0.014581594999283808
Flow Byts/s,0.014449895861630596
SYN Flag Cnt,0.014434703927291015
ACK Flag Cnt,0.014268325619705154
Down/Up Ratio,0.013859485375286574
Fwd IAT Tot,0.013263608122914182
Fwd IAT Mean,0.013067112942972147
Fwd Pkt Len Max,0.012775556954584323
Flow IAT Mean,0.012472003137905878
Fwd IAT Std,0.012062270864862936
Fwd Pkt Len Min,0.010793919112865457
Fwd Act Data Pkts,0.009256508312251497
Active Mean,0.004856929169071936
Active Min,0.0043140377347069166
Bwd PSH Flags,0.002091575228196141
Active Max,0.0019782268674318473
RST Flag Cnt,0.0005061436997090465
Bwd URG Flags,0.0002502896493414999
Active Std,0.00018783883732329136
Idle Std,0.00014609706691199852
